Sector name,Direct emission coefficient (B),Supply chain induced coefficient (B*L),Indirect induced amount (BL-B),Scope2,Scope3
"Electricity, gas, and steam supply",2.4835727108494523,2.9560352793966445,0.47246256854719215,0.4295210644160323,0.042941504131159824
Non-metallic mineral products,0.9986537999508504,1.5653172487348848,0.5666634487840344,0.19727822064497835,0.36938522813905605
Basic metal products,0.8320931577154023,1.4213761570999761,0.5892829993845738,0.2488533601970428,0.34042963918753105
"Water supply, sewage and waste treatment and disposal services",0.960312227345349,1.2951488080877152,0.3348365807423661,0.19153755914106196,0.14329902160130414
Transportation,0.6165222243065073,0.821238546860535,0.20471632255402772,0.07472795721006763,0.12998836534396008
"Agricultural, forest, and fishery goods",0.4323527891876494,0.6294822404106319,0.19712945122298253,0.07301247142360642,0.12411697979937611
Chemical products,0.2360055715482862,0.532191385786335,0.2961858142380488,0.12657484037144162,0.16961097386660717
Mined and quarried goods,0.21720795299873144,0.49729979182086526,0.28009183882213384,0.11360247154687063,0.1664893672752632
"Fabricated metal products, except machinery and furniture",0.011575993367010233,0.46025037480991593,0.4486743814429057,0.14100863659893645,0.30766574484396925
Other manufactured products,0.13915153545403727,0.45225677743816817,0.3131052419841309,0.1068896337678664,0.20621560821626453
Petroleum and coal products,0.3006432769260826,0.4149144431295366,0.11427116620345401,0.07367737242671413,0.040593793776739884
Construction,0.011006991455891492,0.3661741263698777,0.35516713491398616,0.0847773164293082,0.27038981848467797
Machinery and equipment,0.022852876220384646,0.3513085992200246,0.32845572299964,0.10205500242291958,0.2264007205767204
"Food, beverages and tobacco products",0.014428803595772277,0.33787944932795744,0.3234506457321852,0.08396875386099964,0.23948189187118554
Transport equipment,0.00877114820358625,0.3365792721213266,0.32780812391774033,0.09934106417597402,0.22846705974176632
"Wood and paper products, printing and reproduction of recorded media",0.023548343263355004,0.3242248854804321,0.30067654221707707,0.16385757721626287,0.1368189650008142
Electrical equipment,0.006229866166683603,0.3121087919860867,0.3058789258194031,0.09323532282565447,0.21264360299374865
Food services and accommodation,0.01676535633838124,0.2671197012774311,0.2503543449390499,0.09626217358704642,0.15409217135200348
Textile and leather products,0.05969130919423594,0.2624053094947287,0.20271400030049275,0.08863801939316072,0.11407598090733202
Manufacturing services and repair services of industrial equipment,0.016313598691504907,0.2269874013720844,0.2106738026805795,0.09028789936006179,0.12038590332051771
"Professional, scientific, and technical services",0.010935968150986143,0.22430112188539816,0.21336515373441203,0.13977277012975722,0.07359238360465481
Other services,0.013504013394638968,0.22234719441205317,0.2088431810174142,0.09219374530991102,0.11664943570750318
Health and social care services,0.018889135614945547,0.2201272824071641,0.20123814679221855,0.10043747452443472,0.10080067226778383
"Computing machinery, electronic equipment and optical instruments",0.030407150785614973,0.21190020666230916,0.18149305587669418,0.075802369326959,0.10569068654973518
"Art, sports, and leisure services",0.012170120179857346,0.2117337857680554,0.19956366558819805,0.11843540688372607,0.08112825870447198
Education services,0.021489237194695626,0.18779243519323768,0.16630319799854207,0.11763473465698758,0.04866846334155449
Wholesale and retail trade and commodity brokerage services,0.007883028572340448,0.17611041919635434,0.1682273906240139,0.07659191865737627,0.09163547196663763
"Public administration, defense, and social security services",0.056326380767870825,0.1262283055911906,0.06990192482331978,0.0353018654272767,0.034600059396043076
Communications and broadcasting,0.0014486721739556073,0.11436731443183938,0.11291864225788377,0.061936062794221224,0.050982579463662546
Business support services,0.00355165114975829,0.10020356057334304,0.09665190942358474,0.04078761730953733,0.05586429211404741
Finance and insurance,0.0012724498759302896,0.08016751463445615,0.07889506475852585,0.046545367355143225,0.03234969740338263
Real estate services,0.002085764397774158,0.07401839976056013,0.07193263536278596,0.04120147536579402,0.03073115999699194
